identifier,date,chargedAmount,originalCurrency,type,category,description,status
74580003125234415022724,2023-05-03T21:00:00.000Z,-13,ILS,normal,מזון וצריכה,מתחת לעץ בעמ,completed
74580003129234691221129,2023-05-08T21:00:00.000Z,-48,ILS,normal,מזון וצריכה,אבי אליאס - SAILE,completed
74987503134000516899071,2023-05-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*MICROSOFT 36 MSBILL.INFO   IE,completed
74580003137235121406768,2023-05-15T21:00:00.000Z,-48,ILS,normal,מזון וצריכה,צ'יבורק המסעדה הבוכרית,completed
04557433138001083010376,2023-05-16T21:00:00.000Z,-52,ILS,normal,מזון וצריכה,בית החומוס והפול,completed
04557433144001286626723,2023-05-22T21:00:00.000Z,-20,ILS,normal,מזון וצריכה,ווינוויס - בירה בשוק,completed
74580003144235543182519,2023-05-22T21:00:00.000Z,-48,ILS,normal,מזון וצריכה,אבי אליאס - SAILE,completed
74403033148031003315329,2023-05-23T21:00:00.000Z,-58,ILS,normal,מזון וצריכה,ציקן סטיישן חשמונאים,completed
74403033148031001688537,2023-05-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74403033152031003027802,2023-05-29T21:00:00.000Z,-58,ILS,normal,מזון וצריכה,ציקן סטיישן חשמונאים,completed
74580003152236078508085,2023-05-30T21:00:00.000Z,-40,ILS,normal,מזון וצריכה,חומוס זיתון,completed
74580003155236200328169,2023-06-01T21:00:00.000Z,-79,ILS,normal,מזון וצריכה,WOLT,completed
74580003156236280882142,2023-06-03T21:00:00.000Z,-110.54,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74403033159023005782487,2023-06-05T21:00:00.000Z,-68,ILS,normal,מזון וצריכה,TANDOR,completed
74580003159236488047230,2023-06-06T21:00:00.000Z,-48,ILS,normal,מזון וצריכה,צ'יבורק המסעדה הבוכרית,completed
74580003162236635100630,2023-06-08T21:00:00.000Z,-37,ILS,normal,מזון וצריכה,גרגר הזהב בעמ,completed
74403033166022005664159,2023-06-12T21:00:00.000Z,-41,ILS,normal,מזון וצריכה,GREEN DAY,completed
74987503165000028239941,2023-06-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*MICROSOFT 36 MSBILL.INFO   IE,completed
74697693167920048367299,2023-06-14T21:00:00.000Z,-33.15,EUR,normal,שונות,WWW.ALIEXPRESS.COM     WWW.ALIEXPRES LU,completed
74403033171023001968894,2023-06-17T21:00:00.000Z,-28,ILS,normal,מזון וצריכה,סביח טשרניחובסקי,completed
74403033171023003177494,2023-06-17T21:00:00.000Z,-57,ILS,normal,מזון וצריכה,לחם וחברים,completed
74580003170237150866407,2023-06-17T21:00:00.000Z,-49,ILS,normal,מזון וצריכה,נאמן - סניף בוגרשוב,completed
74403033173024006068985,2023-06-19T21:00:00.000Z,-41,ILS,normal,מזון וצריכה,GREEN DAY,completed
74403033177024001607437,2023-06-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
04557433179002614127127,2023-06-26T21:00:00.000Z,-48,ILS,normal,מזון וצריכה,חומוס אבו אדהם גרי השקעות,completed
74580003185238149379570,2023-07-02T21:00:00.000Z,-111.38,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74403033187029003098343,2023-07-03T21:00:00.000Z,-58,ILS,normal,מזון וצריכה,ציקן סטיישן חשמונאים,completed
74403033190024002948932,2023-07-04T21:00:00.000Z,-50,ILS,normal,מזון וצריכה,חומוס הכתר,completed
04557433188002924339361,2023-07-06T21:00:00.000Z,-100,ILS,normal,פנאי ובידור,COACH SPORT BAR,completed
74403033195027005852816,2023-07-11T21:00:00.000Z,-41,ILS,normal,מזון וצריכה,GREEN DAY,completed
04557433195003164959935,2023-07-12T21:00:00.000Z,-32,ILS,normal,מזון וצריכה,פלאפל 4 טעמים אבן גבירול,completed
74580003195238794314730,2023-07-12T21:00:00.000Z,-49,ILS,normal,מזון וצריכה,WAYCUP COFFEE,completed
74987503195001702824077,2023-07-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*MICROSOFT 36 MSBILL.INFO   IE,completed
74580003201239152540462,2023-07-18T21:00:00.000Z,-52,ILS,normal,מזון וצריכה,צ'יבורק המסעדה הבוכרית,completed
74403033204024006552478,2023-07-19T21:00:00.000Z,-50,ILS,normal,פנאי ובידור,"בית קפה התחתית  בע""מ",completed
74403033207031001917231,2023-07-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74580003215240064394802,2023-08-01T21:00:00.000Z,-111.38,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74403033221028003680652,2023-08-06T21:00:00.000Z,-70,ILS,normal,פנאי ובידור,גניה קוסטנזה בעמ,completed
74580003225240643314782,2023-08-10T21:00:00.000Z,-55,ILS,normal,מזון וצריכה,קונגרס בזל,completed
74987503226000036444662,2023-08-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*MICROSOFT 36 MSBILL.INFO   IE,completed
04557433228004357250372,2023-08-14T21:00:00.000Z,-49,ILS,normal,מזון וצריכה,חומוס אבו אדהם גרי השקעות,completed
74403033236023005725525,2023-08-21T21:00:00.000Z,-41,ILS,normal,מזון וצריכה,GREEN DAY,completed
,2023-08-24T17:48:06.000Z,0,ILS,normal,מזון וצריכה,שופרסל שלי נוה,pending
74580003237241443058914,2023-08-23T21:00:00.000Z,-255.21,ILS,normal,מזון וצריכה,שופרסל שלי נוה,completed
74403033239029002262609,2023-08-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
04557433239004759053470,2023-08-25T21:00:00.000Z,-5.5,ILS,normal,עירייה וממשלה,מ.התחבורה-פנגו מוביט,completed
74403033243003001939867,2023-08-28T21:00:00.000Z,-41,ILS,normal,מזון וצריכה,GREEN DAY,completed
24692163242108766940199,2023-08-29T21:00:00.000Z,-339.26,ILS,normal,שונות,AMZN MKTP US*T33QB9MZ1 AMZN.COM/BILL US,completed
74830173243071315582035,2023-08-30T21:00:00.000Z,-20.35,EUR,normal,תחבורה,WIENER LINIEN 789      WIEN          AT,completed
74403033247023002509374,2023-09-01T21:00:00.000Z,-40,ILS,normal,תחבורה,רב קו אונליין,completed
74580003248242187524092,2023-09-03T21:00:00.000Z,-111.69,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
04557433249005170536553,2023-09-04T21:00:00.000Z,-57,ILS,normal,מזון וצריכה,בית החומוס והפול,completed
04557433250005203452907,2023-09-05T21:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
04557433258005494557697,2023-09-05T21:00:00.000Z,25,ILS,normal,פנאי ובידור,UPAPP,completed
04557433257005450252714,2023-09-12T21:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
04557433257005450252722,2023-09-12T21:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
74580003257242797175911,2023-09-12T21:00:00.000Z,-45,ILS,normal,מזון וצריכה,צומה,completed
74987503257000517014077,2023-09-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*MICROSOFT 36 MSBILL.INFO   IE,completed
,2023-09-19T09:16:06.000Z,0,ILS,normal,מזון וצריכה,ציקן סטיישן חשמונאים,pending
,2023-09-20T09:16:40.000Z,0,ILS,normal,מזון וצריכה,צ'יבורק המסעדה הבוכרית,pending
74580003264243182940019,2023-09-19T21:00:00.000Z,-52,ILS,normal,מזון וצריכה,צ'יבורק המסעדה הבוכרית,completed
74403033270029002284504,2023-09-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74403033271004003644302,2023-09-25T21:00:00.000Z,-41,ILS,normal,מזון וצריכה,GREEN DAY,completed
04557433269005816008343,2023-09-25T21:00:00.000Z,-11,ILS,normal,עירייה וממשלה,מ.התחבורה-פנגו מוביט,completed
74580003276243962128617,2023-10-01T21:00:00.000Z,-112.24,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74580003277244026265733,2023-10-02T21:00:00.000Z,-72,ILS,normal,מזון וצריכה,"אם בי בורגר בע""מ",completed
04557433285006417454225,2023-10-10T21:00:00.000Z,-32,ILS,normal,מזון וצריכה,פלאפל 4 טעמים אבן גבירול,completed
74987503287000042239862,2023-10-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*MICROSOFT 36 MSBILL.INFO   IE,completed
74403033299027001641010,2023-10-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
04557433299006819773853,2023-10-24T21:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
04557433299006823614168,2023-10-24T21:00:00.000Z,-5.5,ILS,normal,עירייה וממשלה,מ.התחבורה-פנגו מוביט,completed
04557433300006844633301,2023-10-24T21:00:00.000Z,-61,ILS,normal,מזון וצריכה,שניצל פוינט אבן גבירול,completed
04557433300006865841957,2023-10-25T21:00:00.000Z,-22,ILS,normal,מזון וצריכה,פלאפל 4 טעמים אבן גבירול,completed
74580003305245511171852,2023-10-30T22:00:00.000Z,-52,ILS,normal,מזון וצריכה,צ'יבורק המסעדה הבוכרית,completed
04557433306007053073795,2023-10-31T22:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
74580003307245608796395,2023-11-01T22:00:00.000Z,-112.13,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
04557433310007152611614,2023-11-04T22:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
74403033313017000016043,2023-11-06T22:00:00.000Z,-280,ILS,normal,עירייה וממשלה,משרד הפנים תל אביב,completed
74403033313024004564218,2023-11-06T22:00:00.000Z,-41,ILS,normal,מזון וצריכה,GREEN DAY,completed
74580003319246275060525,2023-11-13T22:00:00.000Z,-52,ILS,normal,מזון וצריכה,צ'יבורק המסעדה הבוכרית,completed
04557433321007487658634,2023-11-15T22:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
04557433326007633122654,2023-11-20T22:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
74580003329246850556242,2023-11-23T22:00:00.000Z,-91,ILS,normal,מזון וצריכה,WOLT,completed
74403033330042001976689,2023-11-24T22:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
04557433330007776412346,2023-11-25T22:00:00.000Z,-16.5,ILS,normal,עירייה וממשלה,מ.התחבורה-פנגו מוביט,completed
74403033334030002450875,2023-11-27T22:00:00.000Z,-58,ILS,normal,מזון וצריכה,ציקן סטיישן חשמונאים,completed
04557433333007952335839,2023-11-27T22:00:00.000Z,-50,ILS,normal,פנאי ובידור,UPAPP,completed
74580003332247089005865,2023-11-27T22:00:00.000Z,-121,ILS,normal,ביטוח,הפניקס ביטוח,completed
74580003339247474126295,2023-12-03T22:00:00.000Z,-112.66,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
04557433346008358073433,2023-12-09T22:00:00.000Z,-45.33,ILS,normal,מזון וצריכה,סיבוס פלאקסי,completed
74580003352248249816790,2023-12-16T22:00:00.000Z,-17,ILS,normal,מזון וצריכה,WAYCUP COFFEE,completed
04557433353008581527494,2023-12-17T22:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
74580003355248425637892,2023-12-19T22:00:00.000Z,-287.27,ILS,normal,דלק חשמל וגז,סונול כוכב הצפון,completed
74403033360027001556675,2023-12-23T22:00:00.000Z,-286,ILS,normal,מזון וצריכה,טיביז ורד הגליל,completed
74403033360027001968953,2023-12-24T22:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
04557433360008853495173,2023-12-24T22:00:00.000Z,-5.5,ILS,normal,עירייה וממשלה,מ.התחבורה-פנגו מוביט,completed
04557433362008965149617,2023-12-26T22:00:00.000Z,-25,ILS,normal,פנאי ובידור,UPAPP,completed
74580003362248956113439,2023-12-27T22:00:00.000Z,-121,ILS,normal,ביטוח,הפניקס ביטוח,completed


"74403034004021002701612","2024-01-01T22:00:00.000Z",-58,"ILS","normal","מסעדות, קפה וברים","ציקן סטיישן חשמונאים","completed"
"74580004003249274656664","2024-01-01T22:00:00.000Z",-112.56,"ILS","normal","רפואה ובתי מרקחת","קרן מכבי","completed"
"74580004010249691038729","2024-01-08T22:00:00.000Z",-72,"ILS","normal","מסעדות, קפה וברים","אם בי בורגר בע""מ","completed"
"04557434012000448164232","2024-01-09T22:00:00.000Z",-31.53,"ILS","normal","מסעדות, קפה וברים","סיבוס פלאקסי","completed"
"04557434016000574920775","2024-01-14T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74580004017250116406825","2024-01-15T22:00:00.000Z",-52,"ILS","normal","מסעדות, קפה וברים","צ'יבורק המסעדה הבוכרית","completed"
"04557434021000738371629","2024-01-19T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"04557434024000848127991","2024-01-22T22:00:00.000Z",-46.22,"ILS","normal","מסעדות, קפה וברים","שומשום בר בריא","completed"
"74403034026033001552122","2024-01-24T22:00:00.000Z",-33.89,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"74403034028050000428599","2024-01-25T22:00:00.000Z",-249.9,"ILS","normal","אופנה","אמריקן איגל","completed"
"04557434030001121651154","2024-01-28T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
